Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests,Segment,PCA1,PCA2
45-54,Female,Rural,Mandarin,PhD,4716,274,Mobile Only,0.9,4.2,0.066,0.021,82,80k-100k,"['Data Science', 'Digital Marketing', 'Photography']",4,1.3520368433143988,-1.3147774410912874
45-54,Female,Suburban,Mandarin,Master,1240,154,Desktop Only,0.6,5.7,0.064,0.027,151,100k+,"['Gourmet Cooking', 'Investing and Finance', 'Photography']",2,1.6689642424674211,-0.41069343719905654
45-54,Male,Urban,Mandarin,Bachelor,5830,78,Mobile Only,2.7,4.5,0.193,0.03,163,100k+,"['Data Science', 'Digital Marketing', 'Gardening']",3,-0.8105601116103744,1.0471270847847822
55-64,Male,Urban,Mandarin,Technical,7565,67,Desktop Only,3.2,1.7,0.109,0.051,94,80k-100k,"['Music Production', 'Investing and Finance']",3,-1.3653647929611743,1.286185011933262
25-34,Female,Suburban,Mandarin,Bachelor,9479,194,Mobile Only,0.8,3.0,0.083,0.071,12,80k-100k,['Software Engineering'],2,1.6823909152650949,-1.2365531784702808
25-34,Female,Urban,Hindi,Master,4571,71,Tablet,3.7,7.9,0.045,0.093,156,100k+,"['Fashion Modelling', 'DIY Crafts', 'Travel and Adventure', 'Gourmet Cooking']",2,1.5195700123597329,1.0207870718601757
18-24,Female,Suburban,Spanish,Master,3439,488,Tablet,1.5,7.7,0.191,0.009,140,80k-100k,"['Fashion Modelling', 'Photography', 'Digital Marketing', 'Eco-Friendly Living']",0,1.4360636448675064,-2.102556785785909
35-44,Female,Suburban,Spanish,Bachelor,648,317,Mobile + Desktop,3.6,3.2,0.197,0.095,115,80k-100k,"['Fitness and Wellness', 'Data Science', 'DIY Crafts']",0,1.195309048345601,-0.5952012369815082
18-24,Female,Suburban,Hindi,High School,7775,454,Tablet,4.9,8.0,0.142,0.092,162,20k-40k,"['Fitness and Wellness', 'Investing and Finance', 'Reading and Literature', 'Gardening']",2,1.601575751496382,-1.9187175865258175
35-44,Male,Rural,Mandarin,High School,8364,305,Mobile + Desktop,3.6,6.9,0.239,0.005,62,80k-100k,"['Fashion Modelling', 'Gourmet Cooking', 'Investing and Finance', 'Reading and Literature']",1,-2.1907902384619087,-1.727590632633347
35-44,Male,Rural,Hindi,High School,298,175,Desktop Only,4.5,5.3,0.08,0.036,90,100k+,"['Travel and Adventure', 'Software Engineering']",3,-1.956309731989315,-0.7719550812420147
25-34,Female,Rural,Spanish,Master,671,180,Tablet,4.8,1.3,0.055,0.081,59,80k-100k,"['Music Production', 'Gardening']",0,1.2165388089378588,-1.4326660135375922
35-44,Female,Suburban,English,PhD,890,72,Desktop Only,2.7,7.3,0.169,0.061,126,60k-80k,"['Gourmet Cooking', 'Photography', 'Music Production']",0,1.3121416380037645,-1.226811460500957
18-24,Male,Suburban,Hindi,Master,9930,156,Mobile Only,3.7,4.9,0.19,0.078,112,20k-40k,"['Gardening', 'Digital Marketing', 'Travel and Adventure']",3,-0.4228361159039552,-1.0968399629798313
18-24,Female,Rural,Mandarin,PhD,1274,493,Desktop Only,4.3,7.1,0.056,0.072,52,0-20k,"['Investing and Finance', 'Gaming', 'Digital Marketing']",4,1.325667560576204,-1.3109313121143875
55-64,Male,Urban,Spanish,Bachelor,278,315,Mobile Only,2.1,6.8,0.019,0.05,136,20k-40k,"['DIY Crafts', 'Pet Care', 'Eco-Friendly Living', 'Gourmet Cooking']",3,-1.0526361157066135,1.656993318909982
25-34,Female,Suburban,Spanish,Technical,2344,170,Desktop Only,1.7,6.8,0.203,0.004,169,80k-100k,"['DIY Crafts', 'Gourmet Cooking']",0,1.3740614683448436,-0.1177598213399075
18-24,Female,Urban,Spanish,PhD,4186,150,Desktop Only,4.8,5.9,0.244,0.058,140,80k-100k,"['Gaming', 'Pet Care']",0,1.552890713961258,1.0213914628317142
35-44,Male,Urban,Spanish,High School,834,343,Tablet,3.8,3.0,0.161,0.005,133,40k-60k,"['Digital Marketing', 'Pet Care', 'Travel and Adventure', 'Gaming']",3,-1.783984418613737,0.4874246984686812
45-54,Male,Suburban,Mandarin,Master,6332,106,Desktop Only,1.5,3.4,0.069,0.06,51,20k-40k,['Investing and Finance'],3,-1.2517040665011299,-0.5998553060946941
25-34,Male,Suburban,English,Bachelor,898,455,Tablet,2.5,3.2,0.249,0.08,9,100k+,"['Data Science', 'Fitness and Wellness', 'Pet Care', 'Gaming']",3,-0.8130272292342758,-0.6620303849039741
45-54,Male,Urban,Spanish,High School,7701,230,Tablet,4.1,1.1,0.223,0.058,28,0-20k,['Reading and Literature'],3,-1.6976597570113638,0.5175320942348455
18-24,Female,Urban,Hindi,Bachelor,9079,52,Mobile + Desktop,3.0,5.1,0.128,0.1,179,40k-60k,['Photography'],2,1.5719790579685335,2.561123795378253
18-24,Male,Rural,English,Technical,2895,442,Mobile + Desktop,3.4,5.9,0.206,0.046,22,40k-60k,['Pet Care'],1,-1.4418546845492533,0.28933191280313225
35-44,Male,Rural,Spanish,Master,4688,301,Mobile Only,3.9,7.0,0.204,0.075,88,40k-60k,['Investing and Finance'],3,-1.4879972947686435,-0.1158378571028536
35-44,Male,Suburban,English,Master,7397,387,Desktop Only,3.3,2.0,0.234,0.067,160,20k-40k,"['Fashion Modelling', 'Pet Care']",3,-1.1877350457280593,-1.015264061367853
45-54,Female,Rural,Hindi,Technical,3184,117,Mobile Only,2.9,4.8,0.21,0.099,9,80k-100k,"['Reading and Literature', 'Gaming', 'Photography', 'Travel and Adventure']",4,1.8482699473153117,-0.5543401193913027
45-54,Female,Rural,Spanish,Master,831,275,Desktop Only,3.9,1.1,0.161,0.071,34,100k+,"['Music Production', 'Fashion Modelling', 'Pet Care', 'Gaming']",0,1.3274899828514997,0.463361475192852
65+,Female,Rural,Hindi,PhD,1229,104,Mobile + Desktop,3.8,1.7,0.152,0.016,5,40k-60k,"['Gourmet Cooking', 'Fitness and Wellness', 'Software Engineering', 'Data Science']",4,0.19881004588312473,0.8595271812998492
35-44,Female,Rural,Mandarin,Bachelor,1705,271,Mobile + Desktop,3.3,1.4,0.117,0.096,90,80k-100k,"['Fitness and Wellness', 'Music Production']",0,0.904646843933007,-0.9079257210229326
25-34,Male,Urban,Spanish,High School,3033,322,Desktop Only,2.1,6.1,0.157,0.067,86,40k-60k,"['Digital Marketing', 'Travel and Adventure', 'DIY Crafts', 'Eco-Friendly Living']",3,-1.731511809013727,1.9995212065585746
45-54,Female,Suburban,Spanish,Technical,9507,394,Desktop Only,2.3,1.6,0.199,0.006,178,20k-40k,"['Software Engineering', 'Gaming', 'Music Production', 'DIY Crafts']",0,1.0147781001332419,0.6989966902395547
25-34,Male,Rural,Spanish,PhD,8616,80,Mobile + Desktop,4.9,6.0,0.242,0.066,73,40k-60k,['Photography'],1,-1.806594308899807,1.0883428356012697
35-44,Male,Urban,Spanish,High School,5174,451,Mobile + Desktop,1.0,2.7,0.117,0.088,35,0-20k,['Gaming'],1,-1.6412179651523964,1.535615823328133
18-24,Female,Urban,Mandarin,High School,7199,228,Mobile Only,1.7,7.1,0.143,0.058,95,60k-80k,['Software Engineering'],4,1.2254039181634229,0.049710556920502885
18-24,Female,Urban,Spanish,Technical,1590,30,Mobile + Desktop,2.7,6.7,0.111,0.035,97,100k+,['Gaming'],0,1.3939361472406209,2.070243685886123
65+,Male,Rural,English,PhD,993,101,Desktop Only,4.3,7.7,0.167,0.082,131,100k+,"['Reading and Literature', 'Fitness and Wellness', 'Music Production']",3,-1.8414225744777832,-0.8008049836209312
55-64,Female,Rural,Spanish,High School,1490,136,Mobile Only,1.2,7.2,0.157,0.078,160,40k-60k,"['Fashion Modelling', 'Digital Marketing']",0,1.0630972280857356,-0.747959829039478
45-54,Male,Suburban,Mandarin,High School,3489,89,Desktop Only,1.7,7.5,0.004,0.054,20,100k+,['Travel and Adventure'],3,-1.227746523417048,-1.0323503387576871
35-44,Male,Rural,Spanish,PhD,4339,321,Tablet,0.8,7.0,0.135,0.015,58,80k-100k,"['Investing and Finance', 'Fashion Modelling']",0,-2.2516095445351794,-1.662292614828396
25-34,Female,Rural,English,Master,4579,247,Mobile Only,3.7,5.9,0.022,0.025,144,80k-100k,"['Investing and Finance', 'Photography']",4,1.676000947569029,-1.1898380214405158
25-34,Female,Urban,Mandarin,High School,2363,480,Desktop Only,1.6,2.2,0.007,0.074,24,0-20k,"['Fashion Modelling', 'Pet Care']",2,1.3484594615142176,0.8271134292578037
25-34,Male,Suburban,Mandarin,Bachelor,3532,381,Mobile + Desktop,2.2,2.9,0.198,0.081,86,80k-100k,"['Music Production', 'DIY Crafts', 'Gaming']",1,-1.1022285610631342,-0.7170375728926287
35-44,Female,Rural,English,PhD,2471,413,Tablet,2.5,2.5,0.065,0.028,166,0-20k,"['Reading and Literature', 'Investing and Finance']",4,0.8031118165770584,-2.4401384873946195
45-54,Male,Rural,English,High School,4412,495,Desktop Only,4.5,5.2,0.085,0.037,155,40k-60k,"['Software Engineering', 'Data Science', 'Eco-Friendly Living', 'Investing and Finance']",3,-2.008481447575613,-0.20457304555023356
45-54,Male,Urban,English,Technical,1615,191,Mobile Only,2.4,4.5,0.016,0.008,113,100k+,"['Fitness and Wellness', 'Digital Marketing']",3,-0.9270215772552111,1.5409059328312955
25-34,Female,Urban,English,Bachelor,6426,34,Desktop Only,1.2,7.1,0.045,0.071,159,80k-100k,"['Data Science', 'Gardening', 'Pet Care']",0,1.8891459054301316,0.9616833526442172
65+,Male,Rural,English,High School,7188,165,Tablet,2.9,7.7,0.191,0.0,117,80k-100k,"['Gourmet Cooking', 'Travel and Adventure', 'Fitness and Wellness']",3,-2.264155391325463,-1.748416476067283
45-54,Female,Suburban,Mandarin,Bachelor,5686,14,Mobile Only,4.8,3.8,0.123,0.005,21,40k-60k,"['Digital Marketing', 'Photography', 'Fitness and Wellness']",4,1.6776229943833538,-0.23386137527185208
35-44,Male,Suburban,Mandarin,Bachelor,3017,129,Tablet,3.2,4.5,0.22,0.0,153,0-20k,"['Gardening', 'Photography', 'Fitness and Wellness', 'Digital Marketing']",3,-1.3465360988751949,-2.0823906478693
45-54,Male,Urban,Spanish,Master,5831,286,Desktop Only,4.9,7.8,0.099,0.065,172,20k-40k,"['Photography', 'Fashion Modelling', 'Digital Marketing', 'Eco-Friendly Living']",3,-1.335675827775453,1.7206215561361258
35-44,Female,Urban,Spanish,Bachelor,7786,27,Mobile + Desktop,4.3,2.9,0.067,0.042,130,100k+,"['Data Science', 'Gaming']",0,1.2233198484693584,2.1807436005427467
25-34,Female,Rural,Hindi,Master,1267,440,Mobile + Desktop,0.7,6.5,0.087,0.03,7,40k-60k,['Fashion Modelling'],2,1.1649384535680758,0.5820434290286965
25-34,Female,Urban,Spanish,PhD,8402,207,Desktop Only,3.5,2.6,0.178,0.091,21,40k-60k,"['Data Science', 'Eco-Friendly Living']",0,1.137719834542071,2.800216614438148
45-54,Male,Rural,Spanish,Master,5209,66,Desktop Only,1.8,5.8,0.139,0.019,54,60k-80k,"['Investing and Finance', 'Pet Care', 'Eco-Friendly Living', 'Fitness and Wellness']",3,-1.6347116391852499,0.6950343628734754
18-24,Male,Suburban,English,Technical,4427,102,Desktop Only,3.0,2.8,0.226,0.039,126,60k-80k,['Reading and Literature'],3,-1.0767234974029467,-1.2000368758390916
18-24,Male,Suburban,English,High School,5910,28,Mobile Only,1.8,7.2,0.151,0.094,94,40k-60k,"['Music Production', 'Fashion Modelling', 'Data Science', 'Pet Care']",3,-0.9921584394937192,-1.4013291452023695
18-24,Male,Rural,Spanish,PhD,3755,393,Tablet,2.1,4.9,0.123,0.043,91,20k-40k,['DIY Crafts'],3,-2.090408730556528,-0.9830505742748986
18-24,Female,Urban,Hindi,PhD,3893,362,Tablet,4.7,2.3,0.196,0.055,10,20k-40k,"['Music Production', 'Reading and Literature']",2,1.1840955173705388,0.24342799173010096
55-64,Male,Suburban,English,Technical,6838,202,Tablet,1.4,2.6,0.237,0.008,160,0-20k,['Investing and Finance'],3,-1.2601423019626017,-1.3019558051085816
45-54,Female,Urban,Spanish,Master,1677,246,Desktop Only,4.4,4.5,0.089,0.079,59,100k+,['Music Production'],0,1.5210711551648939,2.032613570700488
35-44,Female,Suburban,Spanish,High School,9588,396,Tablet,0.6,7.7,0.062,0.042,177,60k-80k,"['Fitness and Wellness', 'Gourmet Cooking']",0,1.0050400612301722,-1.1344721876671011
18-24,Female,Rural,Mandarin,Master,2320,435,Desktop Only,0.9,6.4,0.154,0.08,151,100k+,['Travel and Adventure'],4,1.4639676951003795,-0.8870465365550549
35-44,Male,Rural,Hindi,Bachelor,9264,286,Mobile Only,4.3,4.4,0.125,0.025,106,60k-80k,"['Eco-Friendly Living', 'Reading and Literature', 'Travel and Adventure', 'Photography']",4,-1.1886924201172964,-0.5516946211361672
35-44,Female,Rural,Mandarin,Master,1130,236,Mobile + Desktop,3.3,3.4,0.247,0.042,33,20k-40k,"['Photography', 'Reading and Literature', 'Gourmet Cooking', 'DIY Crafts']",4,0.640647821840854,-0.9606678011336458
25-34,Female,Suburban,Hindi,PhD,6791,242,Desktop Only,3.9,4.8,0.116,0.079,155,80k-100k,"['Digital Marketing', 'Fashion Modelling', 'DIY Crafts', 'Gourmet Cooking']",0,1.596984410770939,-0.6273337628915546
35-44,Male,Urban,English,High School,4092,49,Desktop Only,1.4,6.2,0.019,0.097,115,0-20k,"['Digital Marketing', 'Gaming', 'Fitness and Wellness', 'Investing and Finance']",3,-1.5153397627649567,0.6295208829874532
25-34,Male,Urban,Hindi,Master,1013,332,Mobile + Desktop,2.9,6.5,0.244,0.006,164,60k-80k,"['Eco-Friendly Living', 'Photography', 'Travel and Adventure']",1,-1.09607943330558,1.8134334717410685
45-54,Male,Urban,Spanish,High School,6458,162,Mobile + Desktop,3.8,3.3,0.211,0.081,14,60k-80k,"['Reading and Literature', 'Digital Marketing', 'Photography', 'Data Science']",1,-1.6219501487064718,1.4533174419762394
45-54,Female,Suburban,Spanish,High School,2281,136,Mobile Only,3.3,6.0,0.045,0.03,95,40k-60k,"['Reading and Literature', 'Gaming', 'Fitness and Wellness']",4,1.616484904048384,-0.6466481327081341
18-24,Male,Suburban,Hindi,Bachelor,3297,246,Tablet,2.6,5.6,0.226,0.055,33,0-20k,"['DIY Crafts', 'Photography', 'Gardening', 'Fitness and Wellness']",3,-1.0209068451758039,-0.8787751956900618
25-34,Female,Suburban,Hindi,Bachelor,6140,495,Desktop Only,4.8,7.7,0.085,0.029,49,40k-60k,"['Investing and Finance', 'DIY Crafts']",2,1.6385140410993557,0.788488853460456
45-54,Male,Suburban,Hindi,PhD,1562,64,Tablet,3.5,7.5,0.094,0.061,55,20k-40k,"['Eco-Friendly Living', 'Gaming', 'Reading and Literature']",3,-1.1734776868380463,-1.6250635707380443
35-44,Female,Suburban,Mandarin,Technical,7137,477,Desktop Only,4.6,6.5,0.227,0.035,105,100k+,"['Gourmet Cooking', 'Data Science', 'Gaming', 'DIY Crafts']",4,1.4948329935146238,-0.07030880708531875
55-64,Male,Urban,Hindi,High School,9599,445,Mobile Only,3.8,6.1,0.133,0.033,132,60k-80k,"['Reading and Literature', 'Photography', 'Fashion Modelling']",3,-0.9469093888315223,0.8823721326464754
45-54,Male,Suburban,English,Technical,5094,181,Mobile + Desktop,3.8,2.9,0.034,0.004,15,40k-60k,"['Digital Marketing', 'Data Science', 'Investing and Finance']",1,-1.3434820046499232,0.22001731001716532
25-34,Male,Suburban,Mandarin,PhD,9481,118,Mobile Only,0.9,6.9,0.092,0.015,86,40k-60k,"['Gardening', 'Pet Care', 'Eco-Friendly Living']",3,-0.772588413126504,-0.49614829214770784
18-24,Female,Urban,Mandarin,High School,5408,363,Mobile + Desktop,2.1,4.0,0.181,0.092,132,80k-100k,"['Fashion Modelling', 'Software Engineering', 'Photography']",0,0.889571030777284,0.11466506280890007
45-54,Female,Suburban,Hindi,High School,6321,478,Tablet,4.4,2.9,0.044,0.1,10,60k-80k,"['Travel and Adventure', 'Music Production']",4,1.514471060794676,-1.2244820254209612
18-24,Male,Urban,English,Technical,7190,193,Tablet,1.5,3.7,0.148,0.078,71,20k-40k,"['Pet Care', 'Investing and Finance', 'Data Science', 'Eco-Friendly Living']",3,-1.4527867594648052,0.8652618251083557
35-44,Female,Urban,Mandarin,Master,7869,448,Mobile Only,1.0,6.9,0.174,0.029,66,20k-40k,"['Music Production', 'Fashion Modelling', 'Photography', 'Gourmet Cooking']",2,1.326924832769443,0.8501427874350679
55-64,Female,Rural,Spanish,Bachelor,787,377,Mobile + Desktop,2.0,2.0,0.086,0.04,137,40k-60k,"['DIY Crafts', 'Gourmet Cooking', 'Reading and Literature']",0,0.9033855373725533,0.4822314529926143
35-44,Male,Rural,Mandarin,Master,4761,480,Mobile Only,1.5,4.2,0.173,0.074,141,40k-60k,"['Gourmet Cooking', 'Pet Care']",3,-1.1964898205934653,-0.47449315164969075
25-34,Female,Rural,Hindi,Technical,9499,207,Mobile + Desktop,4.7,4.4,0.221,0.097,32,100k+,"['Travel and Adventure', 'Music Production', 'Photography', 'DIY Crafts']",2,1.2714328424082069,1.4545998499139965
45-54,Male,Rural,English,Bachelor,1994,380,Mobile + Desktop,4.4,1.3,0.118,0.046,42,100k+,"['DIY Crafts', 'Eco-Friendly Living']",1,-1.6308834798924374,0.39173540235513726
35-44,Female,Suburban,Hindi,Master,7489,382,Tablet,2.7,2.4,0.096,0.083,47,80k-100k,['Eco-Friendly Living'],0,1.5678146663653032,-1.5697217820896006
35-44,Male,Rural,Spanish,Bachelor,5022,470,Tablet,0.8,6.8,0.063,0.098,121,60k-80k,"['Digital Marketing', 'DIY Crafts']",3,-1.8992022688532286,-0.9670567959300957
55-64,Male,Urban,Spanish,High School,6422,96,Mobile + Desktop,3.7,6.8,0.151,0.087,153,100k+,['Gaming'],1,-1.322928396220837,1.8776379123918088
25-34,Female,Suburban,Spanish,Master,3283,210,Mobile + Desktop,3.3,3.0,0.22,0.023,50,100k+,"['Investing and Finance', 'Software Engineering', 'Photography', 'Gourmet Cooking']",2,1.2227148502537424,0.4538649353294339
65+,Male,Rural,Hindi,Bachelor,3897,346,Mobile + Desktop,4.9,7.1,0.081,0.001,170,20k-40k,"['Travel and Adventure', 'Photography', 'Fashion Modelling']",1,-1.9169063367656762,0.06046759110554041
55-64,Female,Urban,Mandarin,Bachelor,5278,331,Tablet,3.0,6.4,0.099,0.049,53,100k+,['Reading and Literature'],2,1.4809343302745843,0.17680843206167027
25-34,Female,Suburban,Hindi,Bachelor,9936,284,Tablet,2.0,3.9,0.102,0.053,43,20k-40k,"['Pet Care', 'Travel and Adventure', 'Gaming', 'Data Science']",2,1.8219579111217141,-0.4246711437404408
18-24,Male,Suburban,English,Master,4068,220,Desktop Only,2.8,6.2,0.14,0.02,75,0-20k,"['Fitness and Wellness', 'Gourmet Cooking']",3,-0.9394563367323826,-0.8692755553856455
18-24,Male,Rural,Mandarin,PhD,2816,400,Mobile + Desktop,4.9,7.7,0.057,0.028,131,100k+,"['Music Production', 'Eco-Friendly Living']",1,-1.5741618455355646,-0.7429176500163502
18-24,Female,Suburban,Spanish,Master,290,127,Desktop Only,3.6,4.2,0.206,0.077,162,0-20k,"['Reading and Literature', 'Gardening', 'Investing and Finance']",0,1.8133931250824988,-1.563033103784725
18-24,Female,Urban,Hindi,Technical,1435,200,Mobile + Desktop,3.5,2.7,0.074,0.047,153,60k-80k,"['Investing and Finance', 'Photography', 'Gourmet Cooking', 'Travel and Adventure']",2,1.483156749443694,2.0084757634565586
45-54,Male,Suburban,Spanish,Master,8281,51,Tablet,1.6,7.6,0.176,0.032,5,60k-80k,"['Reading and Literature', 'Photography']",3,-1.2707246603926188,-1.165004168356963
18-24,Female,Urban,Spanish,Bachelor,478,51,Desktop Only,3.8,5.2,0.128,0.062,164,80k-100k,"['Digital Marketing', 'Photography', 'Gourmet Cooking', 'Gaming']",0,1.5715373946143962,1.152824725277034
25-34,Female,Suburban,English,High School,3929,324,Desktop Only,3.9,1.7,0.146,0.065,140,60k-80k,"['DIY Crafts', 'Gourmet Cooking', 'Photography']",0,1.366145147624754,-0.5427200695245663
55-64,Male,Rural,Mandarin,Master,6480,285,Mobile Only,1.9,5.0,0.045,0.077,73,20k-40k,"['Software Engineering', 'Fitness and Wellness']",3,-1.4478791934138755,-0.8124289092429658
18-24,Female,Urban,English,Master,715,338,Mobile + Desktop,2.7,4.5,0.184,0.016,34,40k-60k,['Gaming'],4,1.4306676175341984,1.4443213176470435
55-64,Male,Suburban,English,Bachelor,2430,26,Tablet,1.8,7.0,0.047,0.074,119,80k-100k,"['Gaming', 'Data Science']",3,-0.9112349206774029,-2.2441617457198633
25-34,Female,Suburban,English,High School,1854,292,Mobile Only,1.7,4.7,0.028,0.06,12,80k-100k,['Pet Care'],0,1.9491983560327977,-1.8587047578159939
18-24,Female,Suburban,Spanish,High School,563,440,Mobile Only,0.6,2.8,0.137,0.006,117,0-20k,"['Investing and Finance', 'DIY Crafts', 'Fitness and Wellness', 'Gourmet Cooking']",0,1.341517579004693,-0.8186914828108133
45-54,Female,Urban,English,Technical,9258,267,Mobile + Desktop,1.8,5.7,0.177,0.078,23,100k+,"['Software Engineering', 'Investing and Finance']",2,1.1479279176896522,2.3301606651383624
45-54,Female,Urban,English,Master,4367,72,Mobile Only,3.0,4.8,0.013,0.038,63,40k-60k,"['Travel and Adventure', 'Reading and Literature', 'Eco-Friendly Living', 'DIY Crafts']",4,1.6014935142462765,0.8693479814340411
55-64,Male,Urban,Mandarin,High School,3258,71,Mobile + Desktop,0.5,2.6,0.017,0.033,162,100k+,"['Digital Marketing', 'Gaming', 'Travel and Adventure', 'Photography']",1,-1.3683783327406267,1.0068159964810899
45-54,Male,Rural,Mandarin,High School,3724,109,Mobile Only,1.8,5.0,0.201,0.045,83,0-20k,['Gardening'],3,-1.3539046066571812,-1.3691880544806814
55-64,Male,Rural,English,PhD,5038,28,Mobile + Desktop,4.5,6.8,0.202,0.035,40,80k-100k,"['Music Production', 'Investing and Finance', 'Gourmet Cooking']",1,-1.731670863700108,-0.7952786452566903
25-34,Male,Urban,Mandarin,PhD,5517,26,Tablet,3.2,1.2,0.061,0.034,59,40k-60k,"['Fashion Modelling', 'Gardening', 'Digital Marketing']",3,-1.6793140879214499,0.4857767222531188
25-34,Male,Suburban,Mandarin,High School,6104,334,Mobile + Desktop,3.2,5.4,0.154,0.081,48,20k-40k,"['Fashion Modelling', 'Software Engineering', 'Data Science', 'Pet Care']",1,-1.6450252399775147,-1.1347616612890918
45-54,Female,Rural,English,Technical,8981,432,Mobile + Desktop,2.3,3.4,0.111,0.012,159,60k-80k,"['Eco-Friendly Living', 'Travel and Adventure', 'Digital Marketing']",4,1.1385703162610308,0.08865862361886402
55-64,Female,Urban,Spanish,High School,5703,475,Desktop Only,3.5,3.0,0.158,0.097,81,20k-40k,"['DIY Crafts', 'Eco-Friendly Living', 'Fashion Modelling', 'Reading and Literature']",0,0.8970660033885206,1.2388147095394049
65+,Male,Suburban,English,Bachelor,2312,382,Tablet,1.4,3.7,0.216,0.055,82,100k+,"['DIY Crafts', 'Software Engineering', 'Digital Marketing', 'Fitness and Wellness']",3,-1.917703531563253,-1.1892370974295867
35-44,Female,Rural,Mandarin,Master,6220,255,Tablet,4.2,3.4,0.02,0.018,105,0-20k,"['Gardening', 'Digital Marketing', 'Fashion Modelling', 'Software Engineering']",4,0.7054184874836186,-2.5489355049044233
25-34,Female,Suburban,Spanish,Technical,5918,260,Tablet,1.0,6.8,0.194,0.013,34,20k-40k,"['Fitness and Wellness', 'Fashion Modelling']",2,1.032690188325365,-0.3551893152397891
45-54,Female,Suburban,Hindi,Bachelor,482,464,Mobile Only,3.5,2.9,0.123,0.059,43,100k+,"['Photography', 'Digital Marketing']",4,2.240702340600677,-0.11120420546275417
25-34,Male,Suburban,Spanish,Technical,2356,90,Desktop Only,2.0,6.1,0.141,0.063,17,60k-80k,"['Pet Care', 'Gourmet Cooking', 'Eco-Friendly Living', 'Investing and Finance']",3,-1.1488635493175436,0.5523603213693266
55-64,Male,Suburban,Mandarin,Bachelor,1512,48,Tablet,3.9,1.7,0.163,0.005,126,80k-100k,"['Fashion Modelling', 'Photography', 'Pet Care']",3,-1.2167386278362422,-2.272194705426316
55-64,Female,Rural,Spanish,Master,9875,45,Mobile Only,3.0,7.7,0.231,0.024,148,0-20k,"['Gardening', 'Software Engineering', 'Fitness and Wellness']",4,1.3686234718601786,-0.4083702751192584
35-44,Female,Rural,English,Master,6246,433,Mobile Only,2.5,5.4,0.014,0.08,176,100k+,['Digital Marketing'],4,1.6656089064624622,-1.130729679095688
45-54,Male,Rural,Hindi,PhD,471,438,Mobile Only,1.3,5.9,0.007,0.005,116,0-20k,"['Pet Care', 'Gardening', 'Data Science']",3,-0.8036937746135828,-0.5810443139229942
45-54,Male,Urban,Hindi,Bachelor,5906,397,Desktop Only,3.4,3.1,0.045,0.086,159,100k+,['Eco-Friendly Living'],3,-0.8793738470047106,2.622463398788132
18-24,Male,Rural,Hindi,PhD,5665,495,Mobile Only,4.9,3.9,0.247,0.066,49,100k+,"['Fitness and Wellness', 'Investing and Finance', 'Eco-Friendly Living', 'Gaming']",3,-1.0304698003885826,0.3897266692798923
55-64,Male,Suburban,Mandarin,Bachelor,8902,418,Desktop Only,4.2,2.6,0.179,0.043,123,40k-60k,"['Fashion Modelling', 'Pet Care', 'Digital Marketing']",3,-1.001774578406753,-0.2521334042822535
35-44,Female,Rural,Mandarin,PhD,8407,206,Mobile + Desktop,0.8,7.5,0.154,0.035,39,20k-40k,"['Gourmet Cooking', 'Eco-Friendly Living', 'Fashion Modelling']",2,0.43085225746244893,-0.5500512144292631
55-64,Female,Suburban,Hindi,Master,7537,167,Mobile Only,2.2,4.4,0.012,0.002,160,40k-60k,"['Travel and Adventure', 'Investing and Finance', 'Fitness and Wellness']",4,2.0061258412619827,-0.006271399099246245
25-34,Female,Urban,Spanish,Technical,546,213,Tablet,4.7,5.4,0.22,0.083,11,20k-40k,"['Pet Care', 'Gardening', 'Photography']",2,1.397364885613191,1.3905333052689988
55-64,Female,Suburban,Hindi,PhD,1491,205,Mobile Only,2.8,6.1,0.203,0.014,114,100k+,"['Investing and Finance', 'Pet Care']",2,2.0889766799111706,-0.5906280838541029
25-34,Female,Suburban,Spanish,Bachelor,1440,225,Mobile + Desktop,3.5,3.6,0.166,0.031,118,20k-40k,"['Music Production', 'Pet Care']",2,1.4421472549801424,0.0008413114081865236
18-24,Male,Suburban,Spanish,Bachelor,3039,294,Mobile + Desktop,4.6,6.0,0.085,0.057,55,60k-80k,"['Pet Care', 'DIY Crafts', 'Gourmet Cooking']",1,-1.1320378202811863,-0.08585802357915341
55-64,Male,Urban,Mandarin,Master,6069,466,Mobile Only,4.4,5.7,0.018,0.025,50,60k-80k,"['Gourmet Cooking', 'Data Science', 'Travel and Adventure', 'Fashion Modelling']",3,-0.8671226510975591,0.5636848368843723
18-24,Male,Rural,Spanish,Bachelor,9365,205,Mobile + Desktop,2.8,5.9,0.145,0.05,24,40k-60k,"['Pet Care', 'Music Production']",1,-1.615628955621355,0.9667424235098669
25-34,Female,Rural,Hindi,High School,4913,316,Desktop Only,2.5,4.4,0.18,0.081,100,20k-40k,"['Gaming', 'Reading and Literature', 'DIY Crafts']",2,1.0597535099330369,-0.19564109483146463
65+,Male,Urban,Mandarin,Technical,3669,161,Desktop Only,2.0,3.7,0.024,0.047,42,40k-60k,"['Gaming', 'DIY Crafts']",3,-1.8419525931626801,2.2634829158674727
